Index,Time,SPX
172,2023-04-10 13:33:29.359510+00:00,4074.6799
173,2023-04-10 13:33:30.184627+00:00,4074.6499
174,2023-04-10 13:33:31.053733+00:00,4074.6499
175,2023-04-10 13:33:31.913085+00:00,4074.55
176,2023-04-10 13:33:32.854518+00:00,4074.5701
177,2023-04-10 13:33:33.684879+00:00,4074.51
178,2023-04-10 13:33:34.551159+00:00,4074.54
179,2023-04-10 13:33:35.379744+00:00,4074.75
180,2023-04-10 13:33:36.306491+00:00,4074.8601
181,2023-04-10 13:33:37.163836+00:00,4075.01
182,2023-04-10 13:33:38.029674+00:00,4075.01
183,2023-04-10 13:33:38.941929+00:00,4075.2
184,2023-04-10 13:33:39.768900+00:00,4075.0901
185,2023-04-10 13:33:40.622116+00:00,4075.1799
186,2023-04-10 13:33:41.453531+00:00,4075.23
187,2023-04-10 13:33:42.357198+00:00,4075.1799
188,2023-04-10 13:33:43.189853+00:00,4074.9299
189,2023-04-10 13:33:44.018299+00:00,4074.9299
190,2023-04-10 13:33:44.876500+00:00,4074.8601
191,2023-04-10 13:33:45.742531+00:00,4074.8799
192,2023-04-10 13:33:46.565385+00:00,4075.0601
193,2023-04-10 13:33:47.390987+00:00,4075.0901
194,2023-04-10 13:33:48.293100+00:00,4075.1001
195,2023-04-10 13:33:49.157923+00:00,4074.9199
196,2023-04-10 13:33:50.053929+00:00,4074.9199
197,2023-04-10 13:33:50.959775+00:00,4075.27
198,2023-04-10 13:33:51.786799+00:00,4075.5
199,2023-04-10 13:33:52.608132+00:00,4075.5
200,2023-04-10 13:33:53.475089+00:00,4075.5601
201,2023-04-10 13:33:54.340340+00:00,4075.55
202,2023-04-10 13:33:55.282330+00:00,4075.5701
203,2023-04-10 13:33:56.149661+00:00,4075.51
204,2023-04-10 13:33:56.977683+00:00,4075.51
205,2023-04-10 13:33:57.803052+00:00,4075.55
206,2023-04-10 13:33:58.673459+00:00,4075.73
207,2023-04-10 13:33:59.505305+00:00,4075.8999
208,2023-04-10 13:34:00.408144+00:00,4075.8899
209,2023-04-10 13:34:01.278578+00:00,4075.79
210,2023-04-10 13:34:02.145846+00:00,4075.8101
211,2023-04-10 13:34:03.054280+00:00,4075.8101
212,2023-04-10 13:34:03.882573+00:00,4075.6201
213,2023-04-10 13:34:04.750421+00:00,4075.48
214,2023-04-10 13:34:05.575957+00:00,4075.53
215,2023-04-10 13:34:06.476586+00:00,4075.29
216,2023-04-10 13:34:07.306936+00:00,4075.25
217,2023-04-10 13:34:08.247773+00:00,4075.1201
218,2023-04-10 13:34:09.190292+00:00,4075.02
219,2023-04-10 13:34:10.017667+00:00,4075.02
220,2023-04-10 13:34:10.879746+00:00,4075.1499
221,2023-04-10 13:34:11.709021+00:00,4075.1699
222,2023-04-10 13:34:12.537650+00:00,4075.27
223,2023-04-10 13:34:13.365003+00:00,4075.3101
224,2023-04-10 13:34:14.272483+00:00,4075.3701
225,2023-04-10 13:34:15.098253+00:00,4075.3701
226,2023-04-10 13:34:15.923261+00:00,4075.3899
227,2023-04-10 13:34:16.852672+00:00,4075.3799
228,2023-04-10 13:34:17.723390+00:00,4075.55
229,2023-04-10 13:34:18.619113+00:00,4075.48
230,2023-04-10 13:34:19.534500+00:00,4075.3799
231,2023-04-10 13:34:20.392561+00:00,4075.5701
232,2023-04-10 13:34:21.234497+00:00,4075.6001
233,2023-04-10 13:34:22.130257+00:00,4075.6699
234,2023-04-10 13:34:23.037190+00:00,4075.6699
235,2023-04-10 13:34:23.904096+00:00,4075.77
236,2023-04-10 13:34:24.728620+00:00,4075.8
237,2023-04-10 13:34:25.554698+00:00,4075.8301
238,2023-04-10 13:34:26.453796+00:00,4075.6699
239,2023-04-10 13:34:27.295417+00:00,4075.6499
240,2023-04-10 13:34:28.116397+00:00,4075.6499
241,2023-04-10 13:34:28.941722+00:00,4075.49
242,2023-04-10 13:34:29.802455+00:00,4075.3301
243,2023-04-10 13:34:30.632091+00:00,4075.3899
244,2023-04-10 13:34:31.462675+00:00,4075.3401
245,2023-04-10 13:34:32.288056+00:00,4075.3899
246,2023-04-10 13:34:33.113908+00:00,4075.1101
247,2023-04-10 13:34:33.938723+00:00,4075.1101
248,2023-04-10 13:34:34.835454+00:00,4075.01
249,2023-04-10 13:34:35.665594+00:00,4075.0801
250,2023-04-10 13:34:36.496022+00:00,4075.3601
251,2023-04-10 13:34:37.399521+00:00,4075.3999
252,2023-04-10 13:34:38.308648+00:00,4075.3999
253,2023-04-10 13:34:39.170772+00:00,4075.26
254,2023-04-10 13:34:39.999757+00:00,4075.26
255,2023-04-10 13:34:40.844347+00:00,4075.3201
256,2023-04-10 13:34:41.788506+00:00,4075.29
257,2023-04-10 13:34:42.624188+00:00,4075.24
258,2023-04-10 13:34:43.536040+00:00,4075.46
259,2023-04-10 13:34:44.358302+00:00,4075.4299
260,2023-04-10 13:34:45.190862+00:00,4075.47
261,2023-04-10 13:34:46.017303+00:00,4075.47
262,2023-04-10 13:34:46.846229+00:00,4075.6899
263,2023-04-10 13:34:47.715239+00:00,4075.6899
264,2023-04-10 13:34:48.542957+00:00,4075.6299
265,2023-04-10 13:34:49.442622+00:00,4075.6899
266,2023-04-10 13:34:50.265459+00:00,4075.6399
267,2023-04-10 13:34:51.085702+00:00,4075.6399
268,2023-04-10 13:34:51.915320+00:00,4075.72
269,2023-04-10 13:34:52.854646+00:00,4075.79
270,2023-04-10 13:34:53.675382+00:00,4075.99
271,2023-04-10 13:34:54.543649+00:00,4076.05
272,2023-04-10 13:34:55.411811+00:00,4076.1599
273,2023-04-10 13:34:56.275568+00:00,4076.1299
274,2023-04-10 13:34:57.173190+00:00,4076.1699
275,2023-04-10 13:34:57.997947+00:00,4076.1699
