ID,Time,SPX
177,2023-04-13 13:33:32.678279+00:00,4104.3101
178,2023-04-13 13:33:33.578527+00:00,4104.27
179,2023-04-13 13:33:34.399630+00:00,4104.3501
180,2023-04-13 13:33:35.263113+00:00,4104.23
181,2023-04-13 13:33:36.161536+00:00,4104.1401
182,2023-04-13 13:33:37.035392+00:00,4104.1401
183,2023-04-13 13:33:37.926255+00:00,4104.0801
184,2023-04-13 13:33:38.748329+00:00,4103.8198
185,2023-04-13 13:33:39.579031+00:00,4103.8198
186,2023-04-13 13:33:40.443236+00:00,4103.9302
187,2023-04-13 13:33:41.280896+00:00,4104.0801
188,2023-04-13 13:33:42.104493+00:00,4104.0801
189,2023-04-13 13:33:42.934429+00:00,4103.9199
190,2023-04-13 13:33:43.791125+00:00,4103.7402
191,2023-04-13 13:33:44.688755+00:00,4103.7598
192,2023-04-13 13:33:45.636088+00:00,4103.7598
193,2023-04-13 13:33:46.475186+00:00,4103.6899
194,2023-04-13 13:33:47.408687+00:00,4103.9302
195,2023-04-13 13:33:48.270869+00:00,4104.04
196,2023-04-13 13:33:49.132949+00:00,4103.9399
197,2023-04-13 13:33:50.004807+00:00,4103.9399
198,2023-04-13 13:33:50.911274+00:00,4104.0298
199,2023-04-13 13:33:51.781210+00:00,4104.1001
200,2023-04-13 13:33:52.679412+00:00,4104.1201
201,2023-04-13 13:33:53.547688+00:00,4104.1099
202,2023-04-13 13:33:54.371827+00:00,4104.0498
203,2023-04-13 13:33:55.196081+00:00,4104.1899
204,2023-04-13 13:33:56.089275+00:00,4104.1899
205,2023-04-13 13:33:56.912946+00:00,4104.2598
206,2023-04-13 13:33:57.770704+00:00,4104.2202
207,2023-04-13 13:33:58.594771+00:00,4104.21
208,2023-04-13 13:33:59.422838+00:00,4104.1299
209,2023-04-13 13:34:00.252312+00:00,4104.2202
210,2023-04-13 13:34:01.078691+00:00,4104.2202
211,2023-04-13 13:34:01.942798+00:00,4104.29
212,2023-04-13 13:34:02.935113+00:00,4104.2598
213,2023-04-13 13:34:03.763416+00:00,4104.3198
214,2023-04-13 13:34:04.697700+00:00,4104.3301
215,2023-04-13 13:34:05.553506+00:00,4104.3198
216,2023-04-13 13:34:06.376231+00:00,4104.29
217,2023-04-13 13:34:07.238121+00:00,4104.1699
218,2023-04-13 13:34:08.105523+00:00,4104.1699
219,2023-04-13 13:34:09.010266+00:00,4104.3799
220,2023-04-13 13:34:09.834420+00:00,4104.6099
221,2023-04-13 13:34:10.660889+00:00,4104.6401
222,2023-04-13 13:34:11.597521+00:00,4104.6401
223,2023-04-13 13:34:12.421985+00:00,4104.7598
224,2023-04-13 13:34:13.239923+00:00,4104.75
225,2023-04-13 13:34:14.173427+00:00,4104.79
226,2023-04-13 13:34:15.019645+00:00,4104.79
227,2023-04-13 13:34:15.849768+00:00,4104.6401
228,2023-04-13 13:34:16.706913+00:00,4104.6201
229,2023-04-13 13:34:17.571477+00:00,4104.6699
230,2023-04-13 13:34:18.405204+00:00,4104.5898
231,2023-04-13 13:34:19.268286+00:00,4104.6201
232,2023-04-13 13:34:20.094915+00:00,4104.6201
233,2023-04-13 13:34:20.921597+00:00,4104.6201
234,2023-04-13 13:34:21.754491+00:00,4104.75
235,2023-04-13 13:34:22.707890+00:00,4104.7998
236,2023-04-13 13:34:23.533627+00:00,4104.8999
237,2023-04-13 13:34:24.431042+00:00,4104.9199
238,2023-04-13 13:34:25.256253+00:00,4104.8501
239,2023-04-13 13:34:26.161903+00:00,4104.71
240,2023-04-13 13:34:27.069220+00:00,4104.71
241,2023-04-13 13:34:27.932884+00:00,4104.8301
242,2023-04-13 13:34:28.825018+00:00,4104.7798
243,2023-04-13 13:34:29.657162+00:00,4104.8398
244,2023-04-13 13:34:30.482204+00:00,4104.8901
245,2023-04-13 13:34:31.384006+00:00,4104.8301
246,2023-04-13 13:34:32.244160+00:00,4104.7998
247,2023-04-13 13:34:33.182254+00:00,4105.0698
248,2023-04-13 13:34:34.046721+00:00,4105.0698
249,2023-04-13 13:34:34.875244+00:00,4105.0
250,2023-04-13 13:34:35.809936+00:00,4104.9302
251,2023-04-13 13:34:36.681864+00:00,4105.1699
252,2023-04-13 13:34:37.623829+00:00,4105.1499
253,2023-04-13 13:34:38.558715+00:00,4105.3198
254,2023-04-13 13:34:39.434191+00:00,4105.3799
255,2023-04-13 13:34:40.301698+00:00,4105.1499
256,2023-04-13 13:34:41.136190+00:00,4105.3501
257,2023-04-13 13:34:41.988094+00:00,4105.3501
258,2023-04-13 13:34:42.814220+00:00,4105.3101
259,2023-04-13 13:34:43.684534+00:00,4105.3198
260,2023-04-13 13:34:44.511714+00:00,4105.4502
261,2023-04-13 13:34:45.333820+00:00,4105.4302
262,2023-04-13 13:34:46.160976+00:00,4105.27
263,2023-04-13 13:34:46.987300+00:00,4105.27
264,2023-04-13 13:34:47.860368+00:00,4105.25
265,2023-04-13 13:34:48.723827+00:00,4105.25
266,2023-04-13 13:34:49.556815+00:00,4105.4199
267,2023-04-13 13:34:50.385188+00:00,4105.3999
268,2023-04-13 13:34:51.249750+00:00,4105.46
269,2023-04-13 13:34:52.083919+00:00,4105.46
270,2023-04-13 13:34:52.910153+00:00,4105.4702
271,2023-04-13 13:34:53.766068+00:00,4105.4302
272,2023-04-13 13:34:54.590820+00:00,4105.3999
273,2023-04-13 13:34:55.463144+00:00,4105.4902
274,2023-04-13 13:34:56.295040+00:00,4105.3501
275,2023-04-13 13:34:57.234932+00:00,4105.4702
276,2023-04-13 13:34:58.088689+00:00,4105.4702
